"","state","mode","date","month","day","year","value"
"8972","nc","month","5/1/2013","5","1","2013","60"
"8973","nc","month","6/1/2013","6","1","2013","100"
"8974","nc","month","7/1/2013","7","1","2013","74"
"8975","nc","month","8/1/2013","8","1","2013","31"
"8976","nc","month","9/1/2013","9","1","2013","16"
"8977","nc","month","10/1/2013","10","1","2013","7"
"8978","nc","month","11/1/2013","11","1","2013","4"
"8979","nc","month","12/1/2013","12","1","2013","4"
"8980","nc","month","1/1/2014","1","1","2014","4"
"8981","nc","month","2/1/2014","2","1","2014","5"
"8982","nc","month","3/1/2014","3","1","2014","12"
"8983","nc","month","4/1/2014","4","1","2014","40"
"8984","nc","month","5/1/2014","5","1","2014","61"
"8985","nc","month","6/1/2014","6","1","2014","93"
"8986","nc","month","7/1/2014","7","1","2014","73"
"8987","nc","month","8/1/2014","8","1","2014","29"
"8988","nc","month","9/1/2014","9","1","2014","18"
"8989","nc","month","10/1/2014","10","1","2014","7"
"8990","nc","month","11/1/2014","11","1","2014","4"
"8991","nc","month","12/1/2014","12","1","2014","3"
"8992","nc","month","1/1/2015","1","1","2015","4"
"8993","nc","month","2/1/2015","2","1","2015","5"
"8994","nc","month","3/1/2015","3","1","2015","16"
"8995","nc","month","4/1/2015","4","1","2015","29"
"8996","nc","month","5/1/2015","5","1","2015","85"
"8997","nc","month","6/1/2015","6","1","2015","87"
"8998","nc","month","7/1/2015","7","1","2015","71"
"8999","nc","month","8/1/2015","8","1","2015","35"
"9000","nc","month","9/1/2015","9","1","2015","13"
"9001","nc","month","10/1/2015","10","1","2015","5"
"9002","nc","month","11/1/2015","11","1","2015","4"
"9003","nc","month","12/1/2015","12","1","2015","4"
"9004","nc","month","1/1/2016","1","1","2016","4"
"9005","nc","month","2/1/2016","2","1","2016","4"
"9006","nc","month","3/1/2016","3","1","2016","10"
"11011","nj","month","1/1/2012","1","1","2012","6"
"11012","nj","month","2/1/2012","2","1","2012","6"
"11013","nj","month","3/1/2012","3","1","2012","11"
"11014","nj","month","4/1/2012","4","1","2012","19"
"11015","nj","month","5/1/2012","5","1","2012","51"
"11016","nj","month","6/1/2012","6","1","2012","58"
"11017","nj","month","7/1/2012","7","1","2012","57"
"11018","nj","month","8/1/2012","8","1","2012","31"
"11019","nj","month","9/1/2012","9","1","2012","11"
"11020","nj","month","10/1/2012","10","1","2012","4"
"11021","nj","month","11/1/2012","11","1","2012","4"
"11022","nj","month","12/1/2012","12","1","2012","5"
"11023","nj","month","1/1/2013","1","1","2013","4"
"11024","nj","month","2/1/2013","2","1","2013","6"
"11025","nj","month","3/1/2013","3","1","2013","9"
"11026","nj","month","4/1/2013","4","1","2013","19"
"11027","nj","month","5/1/2013","5","1","2013","31"
"11028","nj","month","6/1/2013","6","1","2013","100"
"11029","nj","month","7/1/2013","7","1","2013","80"
"11030","nj","month","8/1/2013","8","1","2013","29"
"11031","nj","month","9/1/2013","9","1","2013","11"
"11032","nj","month","10/1/2013","10","1","2013","4"
"11033","nj","month","11/1/2013","11","1","2013","4"
"11034","nj","month","12/1/2013","12","1","2013","3"
"11035","nj","month","1/1/2014","1","1","2014","3"
"11036","nj","month","2/1/2014","2","1","2014","4"
"11037","nj","month","3/1/2014","3","1","2014","7"
"11038","nj","month","4/1/2014","4","1","2014","18"
"11039","nj","month","5/1/2014","5","1","2014","33"
"11040","nj","month","6/1/2014","6","1","2014","95"
"11041","nj","month","7/1/2014","7","1","2014","64"
"11042","nj","month","8/1/2014","8","1","2014","30"
"11043","nj","month","9/1/2014","9","1","2014","11"
"11044","nj","month","10/1/2014","10","1","2014","4"
"11045","nj","month","11/1/2014","11","1","2014","3"
"11046","nj","month","12/1/2014","12","1","2014","4"
"11047","nj","month","1/1/2015","1","1","2015","4"
"11048","nj","month","2/1/2015","2","1","2015","4"
"11049","nj","month","3/1/2015","3","1","2015","8"
"11050","nj","month","4/1/2015","4","1","2015","20"
"11051","nj","month","5/1/2015","5","1","2015","45"
"11052","nj","month","6/1/2015","6","1","2015","58"
"11053","nj","month","7/1/2015","7","1","2015","63"
"11054","nj","month","8/1/2015","8","1","2015","36"
"11055","nj","month","9/1/2015","9","1","2015","10"
"11056","nj","month","10/1/2015","10","1","2015","4"
"11057","nj","month","11/1/2015","11","1","2015","4"
"11058","nj","month","12/1/2015","12","1","2015","3"
"11059","nj","month","1/1/2016","1","1","2016","4"
"11060","nj","month","2/1/2016","2","1","2016","4"
"11061","nj","month","3/1/2016","3","1","2016","0"
"12577","oh","month","1/1/2012","1","1","2012","5"
"12578","oh","month","2/1/2012","2","1","2012","5"
"12579","oh","month","3/1/2012","3","1","2012","14"
"12580","oh","month","4/1/2012","4","1","2012","15"
"12581","oh","month","5/1/2012","5","1","2012","54"
"12582","oh","month","6/1/2012","6","1","2012","65"
"12583","oh","month","7/1/2012","7","1","2012","40"
"12584","oh","month","8/1/2012","8","1","2012","17"
"12585","oh","month","9/1/2012","9","1","2012","9"
"12586","oh","month","10/1/2012","10","1","2012","5"
"12587","oh","month","11/1/2012","11","1","2012","4"
"12588","oh","month","12/1/2012","12","1","2012","3"
"12589","oh","month","1/1/2013","1","1","2013","5"
"12590","oh","month","2/1/2013","2","1","2013","5"
"12591","oh","month","3/1/2013","3","1","2013","10"
"12592","oh","month","4/1/2013","4","1","2013","16"
"12593","oh","month","5/1/2013","5","1","2013","44"
"12594","oh","month","6/1/2013","6","1","2013","71"
"12595","oh","month","7/1/2013","7","1","2013","46"
"12596","oh","month","8/1/2013","8","1","2013","19"
"12597","oh","month","9/1/2013","9","1","2013","9"
"12598","oh","month","10/1/2013","10","1","2013","4"
"12599","oh","month","11/1/2013","11","1","2013","3"
"12600","oh","month","12/1/2013","12","1","2013","3"
"12601","oh","month","1/1/2014","1","1","2014","4"
"12602","oh","month","2/1/2014","2","1","2014","4"
"12603","oh","month","3/1/2014","3","1","2014","10"
"12604","oh","month","4/1/2014","4","1","2014","25"
"12605","oh","month","5/1/2014","5","1","2014","51"
"12606","oh","month","6/1/2014","6","1","2014","100"
"12607","oh","month","7/1/2014","7","1","2014","43"
"12608","oh","month","8/1/2014","8","1","2014","20"
"12609","oh","month","9/1/2014","9","1","2014","10"
"12610","oh","month","10/1/2014","10","1","2014","5"
"12611","oh","month","11/1/2014","11","1","2014","3"
"12612","oh","month","12/1/2014","12","1","2014","3"
"12613","oh","month","1/1/2015","1","1","2015","4"
"12614","oh","month","2/1/2015","2","1","2015","4"
"12615","oh","month","3/1/2015","3","1","2015","9"
"12616","oh","month","4/1/2015","4","1","2015","21"
"12617","oh","month","5/1/2015","5","1","2015","48"
"12618","oh","month","6/1/2015","6","1","2015","56"
"12619","oh","month","7/1/2015","7","1","2015","59"
"12620","oh","month","8/1/2015","8","1","2015","30"
"12621","oh","month","9/1/2015","9","1","2015","7"
"12622","oh","month","10/1/2015","10","1","2015","4"
"12623","oh","month","11/1/2015","11","1","2015","4"
"12624","oh","month","12/1/2015","12","1","2015","3"
"12625","oh","month","1/1/2016","1","1","2016","4"
"12626","oh","month","2/1/2016","2","1","2016","4"
"12627","oh","month","3/1/2016","3","1","2016","9"
"12748","ok","month","1/1/2014","1","1","2014","13"
"12749","ok","month","2/1/2014","2","1","2014","15"
"12750","ok","month","3/1/2014","3","1","2014","17"
"12751","ok","month","4/1/2014","4","1","2014","32"
"12752","ok","month","5/1/2014","5","1","2014","53"
"12753","ok","month","6/1/2014","6","1","2014","99"
"12754","ok","month","7/1/2014","7","1","2014","76"
"12755","ok","month","8/1/2014","8","1","2014","31"
"12756","ok","month","9/1/2014","9","1","2014","13"
"12757","ok","month","10/1/2014","10","1","2014","10"
"12758","ok","month","11/1/2014","11","1","2014","6"
"12759","ok","month","12/1/2014","12","1","2014","6"
"12760","ok","month","1/1/2015","1","1","2015","6"
"12761","ok","month","2/1/2015","2","1","2015","9"
"12762","ok","month","3/1/2015","3","1","2015","57"
"12763","ok","month","4/1/2015","4","1","2015","56"
"12764","ok","month","5/1/2015","5","1","2015","47"
"12765","ok","month","6/1/2015","6","1","2015","100"
"12766","ok","month","7/1/2015","7","1","2015","83"
"12767","ok","month","8/1/2015","8","1","2015","38"
"12768","ok","month","9/1/2015","9","1","2015","13"
"12769","ok","month","10/1/2015","10","1","2015","12"
"12770","ok","month","11/1/2015","11","1","2015","0"
"12771","ok","month","12/1/2015","12","1","2015","0"
"12772","ok","month","1/1/2016","1","1","2016","0"
"12773","ok","month","2/1/2016","2","1","2016","0"
"12774","ok","month","3/1/2016","3","1","2016","0"
"12883","or","month","1/1/2013","1","1","2013","9"
"12884","or","month","2/1/2013","2","1","2013","9"
"12885","or","month","3/1/2013","3","1","2013","16"
"12886","or","month","4/1/2013","4","1","2013","27"
"12887","or","month","5/1/2013","5","1","2013","37"
"12888","or","month","6/1/2013","6","1","2013","100"
"12889","or","month","7/1/2013","7","1","2013","52"
"12890","or","month","8/1/2013","8","1","2013","17"
"12891","or","month","9/1/2013","9","1","2013","8"
"12892","or","month","10/1/2013","10","1","2013","4"
"12893","or","month","11/1/2013","11","1","2013","4"
"12894","or","month","12/1/2013","12","1","2013","5"
"12895","or","month","1/1/2014","1","1","2014","5"
"12896","or","month","2/1/2014","2","1","2014","4"
"12897","or","month","3/1/2014","3","1","2014","7"
"12898","or","month","4/1/2014","4","1","2014","11"
"12899","or","month","5/1/2014","5","1","2014","22"
"12900","or","month","6/1/2014","6","1","2014","22"
"12901","or","month","7/1/2014","7","1","2014","54"
"12902","or","month","8/1/2014","8","1","2014","18"
"12903","or","month","9/1/2014","9","1","2014","7"
"12904","or","month","10/1/2014","10","1","2014","3"
"12905","or","month","11/1/2014","11","1","2014","3"
"12906","or","month","12/1/2014","12","1","2014","3"
"12907","or","month","1/1/2015","1","1","2015","4"
"12908","or","month","2/1/2015","2","1","2015","8"
"12909","or","month","3/1/2015","3","1","2015","6"
"12910","or","month","4/1/2015","4","1","2015","11"
"12911","or","month","5/1/2015","5","1","2015","18"
"12912","or","month","6/1/2015","6","1","2015","77"
"12913","or","month","7/1/2015","7","1","2015","49"
"12914","or","month","8/1/2015","8","1","2015","19"
"12915","or","month","9/1/2015","9","1","2015","9"
"12916","or","month","10/1/2015","10","1","2015","5"
"12917","or","month","11/1/2015","11","1","2015","4"
"12918","or","month","12/1/2015","12","1","2015","10"
"12919","or","month","1/1/2016","1","1","2016","6"
"12920","or","month","2/1/2016","2","1","2016","5"
"12921","or","month","3/1/2016","3","1","2016","0"
"13813","sc","month","1/1/2013","1","1","2013","8"
"13814","sc","month","2/1/2013","2","1","2013","8"
"13815","sc","month","3/1/2013","3","1","2013","14"
"13816","sc","month","4/1/2013","4","1","2013","54"
"13817","sc","month","5/1/2013","5","1","2013","58"
"13818","sc","month","6/1/2013","6","1","2013","100"
"13819","sc","month","7/1/2013","7","1","2013","80"
"13820","sc","month","8/1/2013","8","1","2013","41"
"13821","sc","month","9/1/2013","9","1","2013","13"
"13822","sc","month","10/1/2013","10","1","2013","7"
"13823","sc","month","11/1/2013","11","1","2013","8"
"13824","sc","month","12/1/2013","12","1","2013","10"
"13825","sc","month","1/1/2014","1","1","2014","11"
"13826","sc","month","2/1/2014","2","1","2014","12"
"13827","sc","month","3/1/2014","3","1","2014","14"
"13828","sc","month","4/1/2014","4","1","2014","49"
"13829","sc","month","5/1/2014","5","1","2014","66"
"13830","sc","month","6/1/2014","6","1","2014","95"
"13831","sc","month","7/1/2014","7","1","2014","76"
"13832","sc","month","8/1/2014","8","1","2014","33"
"13833","sc","month","9/1/2014","9","1","2014","13"
"13834","sc","month","10/1/2014","10","1","2014","7"
"13835","sc","month","11/1/2014","11","1","2014","7"
"13836","sc","month","12/1/2014","12","1","2014","7"
"13837","sc","month","1/1/2015","1","1","2015","7"
"13838","sc","month","2/1/2015","2","1","2015","7"
"13839","sc","month","3/1/2015","3","1","2015","19"
"13840","sc","month","4/1/2015","4","1","2015","44"
"13841","sc","month","5/1/2015","5","1","2015","76"
"13842","sc","month","6/1/2015","6","1","2015","92"
"13843","sc","month","7/1/2015","7","1","2015","69"
"13844","sc","month","8/1/2015","8","1","2015","36"
"13845","sc","month","9/1/2015","9","1","2015","11"
"13846","sc","month","10/1/2015","10","1","2015","6"
"13847","sc","month","11/1/2015","11","1","2015","0"
"13848","sc","month","12/1/2015","12","1","2015","0"
"13849","sc","month","1/1/2016","1","1","2016","0"
"13850","sc","month","2/1/2016","2","1","2016","0"
"13851","sc","month","3/1/2016","3","1","2016","0"
"14596","tn","month","1/1/2013","1","1","2013","6"
"14597","tn","month","2/1/2013","2","1","2013","8"
"14598","tn","month","3/1/2013","3","1","2013","18"
"14599","tn","month","4/1/2013","4","1","2013","43"
"14600","tn","month","5/1/2013","5","1","2013","56"
"14601","tn","month","6/1/2013","6","1","2013","75"
"14602","tn","month","7/1/2013","7","1","2013","59"
"14603","tn","month","8/1/2013","8","1","2013","27"
"14604","tn","month","9/1/2013","9","1","2013","13"
"14605","tn","month","10/1/2013","10","1","2013","7"
"14606","tn","month","11/1/2013","11","1","2013","7"
"14607","tn","month","12/1/2013","12","1","2013","4"
"14608","tn","month","1/1/2014","1","1","2014","4"
"14609","tn","month","2/1/2014","2","1","2014","5"
"14610","tn","month","3/1/2014","3","1","2014","16"
"14611","tn","month","4/1/2014","4","1","2014","33"
"14612","tn","month","5/1/2014","5","1","2014","68"
"14613","tn","month","6/1/2014","6","1","2014","92"
"14614","tn","month","7/1/2014","7","1","2014","63"
"14615","tn","month","8/1/2014","8","1","2014","21"
"14616","tn","month","9/1/2014","9","1","2014","12"
"14617","tn","month","10/1/2014","10","1","2014","8"
"14618","tn","month","11/1/2014","11","1","2014","4"
"14619","tn","month","12/1/2014","12","1","2014","4"
"14620","tn","month","1/1/2015","1","1","2015","4"
"14621","tn","month","2/1/2015","2","1","2015","6"
"14622","tn","month","3/1/2015","3","1","2015","26"
"14623","tn","month","4/1/2015","4","1","2015","36"
"14624","tn","month","5/1/2015","5","1","2015","75"
"14625","tn","month","6/1/2015","6","1","2015","100"
"14626","tn","month","7/1/2015","7","1","2015","52"
"14627","tn","month","8/1/2015","8","1","2015","22"
"14628","tn","month","9/1/2015","9","1","2015","11"
"14629","tn","month","10/1/2015","10","1","2015","6"
"14630","tn","month","11/1/2015","11","1","2015","5"
"14631","tn","month","12/1/2015","12","1","2015","5"
"14632","tn","month","1/1/2016","1","1","2016","5"
"14633","tn","month","2/1/2016","2","1","2016","8"
"14634","tn","month","3/1/2016","3","1","2016","0"
"17275","wa","month","1/1/2012","1","1","2012","5"
"17276","wa","month","2/1/2012","2","1","2012","9"
"17277","wa","month","3/1/2012","3","1","2012","13"
"17278","wa","month","4/1/2012","4","1","2012","33"
"17279","wa","month","5/1/2012","5","1","2012","39"
"17280","wa","month","6/1/2012","6","1","2012","35"
"17281","wa","month","7/1/2012","7","1","2012","77"
"17282","wa","month","8/1/2012","8","1","2012","46"
"17283","wa","month","9/1/2012","9","1","2012","11"
"17284","wa","month","10/1/2012","10","1","2012","7"
"17285","wa","month","11/1/2012","11","1","2012","5"
"17286","wa","month","12/1/2012","12","1","2012","5"
"17287","wa","month","1/1/2013","1","1","2013","7"
"17288","wa","month","2/1/2013","2","1","2013","6"
"17289","wa","month","3/1/2013","3","1","2013","12"
"17290","wa","month","4/1/2013","4","1","2013","21"
"17291","wa","month","5/1/2013","5","1","2013","39"
"17292","wa","month","6/1/2013","6","1","2013","72"
"17293","wa","month","7/1/2013","7","1","2013","93"
"17294","wa","month","8/1/2013","8","1","2013","25"
"17295","wa","month","9/1/2013","9","1","2013","12"
"17296","wa","month","10/1/2013","10","1","2013","5"
"17297","wa","month","11/1/2013","11","1","2013","4"
"17298","wa","month","12/1/2013","12","1","2013","4"
"17299","wa","month","1/1/2014","1","1","2014","5"
"17300","wa","month","2/1/2014","2","1","2014","5"
"17301","wa","month","3/1/2014","3","1","2014","9"
"17302","wa","month","4/1/2014","4","1","2014","14"
"17303","wa","month","5/1/2014","5","1","2014","30"
"17304","wa","month","6/1/2014","6","1","2014","55"
"17305","wa","month","7/1/2014","7","1","2014","100"
"17306","wa","month","8/1/2014","8","1","2014","35"
"17307","wa","month","9/1/2014","9","1","2014","12"
"17308","wa","month","10/1/2014","10","1","2014","5"
"17309","wa","month","11/1/2014","11","1","2014","6"
"17310","wa","month","12/1/2014","12","1","2014","5"
"17311","wa","month","1/1/2015","1","1","2015","4"
"17312","wa","month","2/1/2015","2","1","2015","6"
"17313","wa","month","3/1/2015","3","1","2015","10"
"17314","wa","month","4/1/2015","4","1","2015","19"
"17315","wa","month","5/1/2015","5","1","2015","27"
"17316","wa","month","6/1/2015","6","1","2015","90"
"17317","wa","month","7/1/2015","7","1","2015","65"
"17318","wa","month","8/1/2015","8","1","2015","25"
"17319","wa","month","9/1/2015","9","1","2015","8"
"17320","wa","month","10/1/2015","10","1","2015","6"
"17321","wa","month","11/1/2015","11","1","2015","5"
"17322","wa","month","12/1/2015","12","1","2015","5"
"17323","wa","month","1/1/2016","1","1","2016","6"
"17324","wa","month","2/1/2016","2","1","2016","6"
"17325","wa","month","3/1/2016","3","1","2016","0"
"17434","wi","month","1/1/2013","1","1","2013","5"
"17435","wi","month","2/1/2013","2","1","2013","7"
"17436","wi","month","3/1/2013","3","1","2013","13"
"17437","wi","month","4/1/2013","4","1","2013","22"
"17438","wi","month","5/1/2013","5","1","2013","41"
"17439","wi","month","6/1/2013","6","1","2013","77"
"17440","wi","month","7/1/2013","7","1","2013","72"
"17441","wi","month","8/1/2013","8","1","2013","25"
"17442","wi","month","9/1/2013","9","1","2013","10"
"17443","wi","month","10/1/2013","10","1","2013","5"
"17444","wi","month","11/1/2013","11","1","2013","5"
"17445","wi","month","12/1/2013","12","1","2013","5"
"17446","wi","month","1/1/2014","1","1","2014","5"
"17447","wi","month","2/1/2014","2","1","2014","5"
"17448","wi","month","3/1/2014","3","1","2014","11"
"17449","wi","month","4/1/2014","4","1","2014","16"
"17450","wi","month","5/1/2014","5","1","2014","65"
"17451","wi","month","6/1/2014","6","1","2014","100"
"17452","wi","month","7/1/2014","7","1","2014","68"
"17453","wi","month","8/1/2014","8","1","2014","28"
"17454","wi","month","9/1/2014","9","1","2014","9"
"17455","wi","month","10/1/2014","10","1","2014","5"
"17456","wi","month","11/1/2014","11","1","2014","5"
"17457","wi","month","12/1/2014","12","1","2014","5"
"17458","wi","month","1/1/2015","1","1","2015","5"
"17459","wi","month","2/1/2015","2","1","2015","8"
"17460","wi","month","3/1/2015","3","1","2015","12"
"17461","wi","month","4/1/2015","4","1","2015","19"
"17462","wi","month","5/1/2015","5","1","2015","39"
"17463","wi","month","6/1/2015","6","1","2015","86"
"17464","wi","month","7/1/2015","7","1","2015","93"
"17465","wi","month","8/1/2015","8","1","2015","36"
"17466","wi","month","9/1/2015","9","1","2015","12"
"17467","wi","month","10/1/2015","10","1","2015","5"
"17468","wi","month","11/1/2015","11","1","2015","5"
"17469","wi","month","12/1/2015","12","1","2015","5"
"17470","wi","month","1/1/2016","1","1","2016","6"
"17471","wi","month","2/1/2016","2","1","2016","8"
"17472","wi","month","3/1/2016","3","1","2016","0"
"919","ca","month","1/1/2007","1","1","2007","0"
"920","tx","month","1/1/2007","1","1","2007","0"
"921","ca","month","2/1/2007","2","1","2007","0"
"922","tx","month","2/1/2007","2","1","2007","0"
"923","ca","month","3/1/2007","3","1","2007","8.5"
"924","tx","month","3/1/2007","3","1","2007","0"
"925","ca","month","4/1/2007","4","1","2007","10.8"
"926","tx","month","4/1/2007","4","1","2007","11.8"
"927","ca","month","5/1/2007","5","1","2007","15.25"
"928","tx","month","5/1/2007","5","1","2007","19"
"929","ca","month","6/1/2007","6","1","2007","27"
"930","tx","month","6/1/2007","6","1","2007","25.75"
"931","ca","month","7/1/2007","7","1","2007","26.4"
"932","tx","month","7/1/2007","7","1","2007","19.4"
"933","ca","month","8/1/2007","8","1","2007","14.75"
"934","tx","month","8/1/2007","8","1","2007","11.25"
"935","ca","month","9/1/2007","9","1","2007","4.8"
"936","tx","month","9/1/2007","9","1","2007","0"
"937","ca","month","10/1/2007","10","1","2007","0"
"938","tx","month","10/1/2007","10","1","2007","0"
"939","ca","month","11/1/2007","11","1","2007","0"
"940","tx","month","11/1/2007","11","1","2007","0"
"941","ca","month","12/1/2007","12","1","2007","0"
"942","tx","month","12/1/2007","12","1","2007","0"
"943","ca","month","1/1/2008","1","1","2008","0"
"944","fl","month","1/1/2008","1","1","2008","0"
"945","ny","month","1/1/2008","1","1","2008","0"
"946","pa","month","1/1/2008","1","1","2008","0"
"947","tx","month","1/1/2008","1","1","2008","0"
"948","ca","month","2/1/2008","2","1","2008","0"
"949","fl","month","2/1/2008","2","1","2008","0"
"950","ny","month","2/1/2008","2","1","2008","0"
"951","pa","month","2/1/2008","2","1","2008","0"
"952","tx","month","2/1/2008","2","1","2008","0"
"953","ca","month","3/1/2008","3","1","2008","7.2"
"954","fl","month","3/1/2008","3","1","2008","33.8"
"955","ny","month","3/1/2008","3","1","2008","0"
"956","pa","month","3/1/2008","3","1","2008","0"
"957","tx","month","3/1/2008","3","1","2008","9"
"958","ca","month","4/1/2008","4","1","2008","11.5"
"959","fl","month","4/1/2008","4","1","2008","42.75"
"960","ny","month","4/1/2008","4","1","2008","12.5"
"961","pa","month","4/1/2008","4","1","2008","0"
"962","tx","month","4/1/2008","4","1","2008","15.5"
"963","ca","month","5/1/2008","5","1","2008","14.25"
"964","fl","month","5/1/2008","5","1","2008","36.75"
"965","ny","month","5/1/2008","5","1","2008","17.5"
"966","pa","month","5/1/2008","5","1","2008","7.75"
"967","tx","month","5/1/2008","5","1","2008","27.25"
"968","ca","month","6/1/2008","6","1","2008","28.6"
"969","fl","month","6/1/2008","6","1","2008","28.6"
"970","ny","month","6/1/2008","6","1","2008","29.2"
"971","pa","month","6/1/2008","6","1","2008","29.8"
"972","tx","month","6/1/2008","6","1","2008","31.8"
"973","ca","month","7/1/2008","7","1","2008","17.75"
"974","fl","month","7/1/2008","7","1","2008","26.75"
"975","ny","month","7/1/2008","7","1","2008","22"
"976","pa","month","7/1/2008","7","1","2008","21.75"
"977","tx","month","7/1/2008","7","1","2008","22"
"978","ca","month","8/1/2008","8","1","2008","13.2"
"979","fl","month","8/1/2008","8","1","2008","22.4"
"980","ny","month","8/1/2008","8","1","2008","12.8"
"981","pa","month","8/1/2008","8","1","2008","9"
"982","tx","month","8/1/2008","8","1","2008","13"
"983","ca","month","9/1/2008","9","1","2008","6.75"
"984","fl","month","9/1/2008","9","1","2008","7"
"985","ny","month","9/1/2008","9","1","2008","0"
"986","pa","month","9/1/2008","9","1","2008","0"
"987","tx","month","9/1/2008","9","1","2008","0"
"988","ca","month","10/1/2008","10","1","2008","3"
"989","fl","month","10/1/2008","10","1","2008","0"
"990","ny","month","10/1/2008","10","1","2008","0"
"991","pa","month","10/1/2008","10","1","2008","0"
"992","tx","month","10/1/2008","10","1","2008","0"
"993","ca","month","11/1/2008","11","1","2008","0"
"994","fl","month","11/1/2008","11","1","2008","0"
"995","ny","month","11/1/2008","11","1","2008","0"
"996","pa","month","11/1/2008","11","1","2008","0"
"997","tx","month","11/1/2008","11","1","2008","0"
"998","ca","month","12/1/2008","12","1","2008","0"
"999","fl","month","12/1/2008","12","1","2008","0"
"1000","ny","month","12/1/2008","12","1","2008","0"
"1001","pa","month","12/1/2008","12","1","2008","0"
"1002","tx","month","12/1/2008","12","1","2008","0"
"1003","ca","month","1/1/2009","1","1","2009","0"
"1004","fl","month","1/1/2009","1","1","2009","0"
"1005","ma","month","1/1/2009","1","1","2009","0"
"1006","ny","month","1/1/2009","1","1","2009","0"
"1007","pa","month","1/1/2009","1","1","2009","0"
"1008","tx","month","1/1/2009","1","1","2009","0"
"1009","ca","month","2/1/2009","2","1","2009","0"
"1010","fl","month","2/1/2009","2","1","2009","0"
"1011","ma","month","2/1/2009","2","1","2009","0"
"1012","ny","month","2/1/2009","2","1","2009","0"
"1013","pa","month","2/1/2009","2","1","2009","0"
"1014","tx","month","2/1/2009","2","1","2009","0"
"1015","ca","month","3/1/2009","3","1","2009","5.4"
"1016","fl","month","3/1/2009","3","1","2009","37"
"1017","ma","month","3/1/2009","3","1","2009","0"
"1018","ny","month","3/1/2009","3","1","2009","0"
"1019","pa","month","3/1/2009","3","1","2009","0"
"1020","tx","month","3/1/2009","3","1","2009","8.8"
"1021","ca","month","4/1/2009","4","1","2009","13.5"
"1022","fl","month","4/1/2009","4","1","2009","35.5"
"1023","ma","month","4/1/2009","4","1","2009","7.75"
"1024","ny","month","4/1/2009","4","1","2009","15.75"
"1025","pa","month","4/1/2009","4","1","2009","14.5"
"1026","tx","month","4/1/2009","4","1","2009","15.75"
"10271","ca","month","5/1/2009","5","1","2009","15.8"
"10281","fl","month","5/1/2009","5","1","2009","33"
"10291","ma","month","5/1/2009","5","1","2009","25.6"
"10301","ny","month","5/1/2009","5","1","2009","16"
"10311","pa","month","5/1/2009","5","1","2009","16.4"
"10321","tx","month","5/1/2009","5","1","2009","24.2"
"10331","ca","month","6/1/2009","6","1","2009","21.75"
"10341","fl","month","6/1/2009","6","1","2009","32"
"10351","ma","month","6/1/2009","6","1","2009","38.5"
"10361","ny","month","6/1/2009","6","1","2009","23"
"10371","pa","month","6/1/2009","6","1","2009","25"
"10381","tx","month","6/1/2009","6","1","2009","37.75"
"10391","ca","month","7/1/2009","7","1","2009","28.25"
"10401","fl","month","7/1/2009","7","1","2009","29.25"
"10411","ma","month","7/1/2009","7","1","2009","42.5"
"10421","ny","month","7/1/2009","7","1","2009","30.25"
"10431","pa","month","7/1/2009","7","1","2009","22.75"
"10441","tx","month","7/1/2009","7","1","2009","23.5"
"10451","ca","month","8/1/2009","8","1","2009","11.8"
"10461","fl","month","8/1/2009","8","1","2009","24.2"
"10471","ma","month","8/1/2009","8","1","2009","19.2"
"10481","ny","month","8/1/2009","8","1","2009","16"
"10491","pa","month","8/1/2009","8","1","2009","9.6"
"10501","tx","month","8/1/2009","8","1","2009","15"
"10511","ca","month","9/1/2009","9","1","2009","7"
"10521","fl","month","9/1/2009","9","1","2009","14.75"
"10531","ma","month","9/1/2009","9","1","2009","0"
"10541","ny","month","9/1/2009","9","1","2009","0"
"10551","pa","month","9/1/2009","9","1","2009","0"
"10561","tx","month","9/1/2009","9","1","2009","11"
"10571","ca","month","10/1/2009","10","1","2009","5"
"10581","fl","month","10/1/2009","10","1","2009","0"
"10591","ma","month","10/1/2009","10","1","2009","0"
"10601","ny","month","10/1/2009","10","1","2009","0"
"10611","pa","month","10/1/2009","10","1","2009","0"
"10621","tx","month","10/1/2009","10","1","2009","7.5"
"10631","ca","month","11/1/2009","11","1","2009","2"
"10641","fl","month","11/1/2009","11","1","2009","0"
"10651","ma","month","11/1/2009","11","1","2009","0"
"10661","ny","month","11/1/2009","11","1","2009","0"
"10671","pa","month","11/1/2009","11","1","2009","0"
"10681","tx","month","11/1/2009","11","1","2009","0"
"10691","ca","month","12/1/2009","12","1","2009","0"
"10701","fl","month","12/1/2009","12","1","2009","0"
"10711","ma","month","12/1/2009","12","1","2009","0"
"10721","ny","month","12/1/2009","12","1","2009","0"
"10731","pa","month","12/1/2009","12","1","2009","0"
"10741","tx","month","12/1/2009","12","1","2009","0"
"10751","ca","month","1/1/2010","1","1","2010","0"
"10761","fl","month","1/1/2010","1","1","2010","0"
"10771","il","month","1/1/2010","1","1","2010","0"
"1078","ma","month","1/1/2010","1","1","2010","0"
"1079","ny","month","1/1/2010","1","1","2010","0"
"1080","pa","month","1/1/2010","1","1","2010","0"
"1081","tx","month","1/1/2010","1","1","2010","0"
"1082","va","month","1/1/2010","1","1","2010","0"
"1083","ca","month","2/1/2010","2","1","2010","1"
"1084","fl","month","2/1/2010","2","1","2010","0"
