 CYS 20050703  9.59  8.92  0.46  0.48  0.06 322.4
 CYS 20050704  9.37  6.86  0.12  0.40  0.25 328.2
 CYS 20050705  9.04  8.12  0.32  0.56  0.10 338.0
 CYS 20050706  9.42  8.88  0.48  0.52  0.00 325.7
 CYS 20050707  9.88  9.04  0.32  0.61  0.07 313.3
 CYS 20050708  9.38  8.52  0.29  0.62  0.09 326.1
 CYS 20050709  9.63  8.76  0.30  0.61  0.09 318.9
 CYS 20050712 10.03  9.38  0.53  0.45  0.00 306.7
 CYS 20050713 10.10  9.62  0.59  0.41  0.00 304.3
 CYS 20050714 10.18  9.42  0.52  0.43  0.02 301.3
 CYS 20050715 10.61  9.96  0.53  0.42  0.05 290.9
 CYS 20050716 10.06  8.77  0.10  0.70  0.20 303.1
 CYS 20050717 10.12  8.73  0.45  0.34  0.11 300.8
 CYS 20050718 10.18  9.58  0.54  0.44  0.01 298.7
 CYS 20050719 10.14  9.67  0.65  0.30  0.06 299.3
 CYS 20050720 10.23  9.52  0.69  0.22  0.05 296.5
 CYS 20050721 10.11  9.45  0.76  0.18  0.00 298.3
 CYS 20050722 10.47  9.44  0.31  0.55  0.14 289.4
 CYS 20050723 10.43  8.90  0.14  0.60  0.23 289.3
 CYS 20050724 10.48  9.19  0.38  0.46  0.09 287.2
 CYS 20050725 10.39  8.74  0.22  0.55  0.14 288.4
 CYS 20050726 10.02  5.93  0.10  0.14  0.31 296.1
 CYS 20050727  9.27  8.29  0.34  0.53  0.10 315.1
 CYS 20050728  9.30  8.45  0.38  0.53  0.07 313.2
 CYS 20050729  9.74  8.01  0.00  0.69  0.26 300.0
 CYS 20050730  9.67  8.32  0.17  0.60  0.20 300.7
 CYS 20050731  9.71  7.48  0.17  0.38  0.29 298.4
 CYS 20050801  9.79  8.54  0.15  0.63  0.22 295.4
 CYS 20050802 10.10  7.34  0.04  0.40  0.37 286.7
 CYS 20050803  9.86  7.61  0.07  0.52  0.26 291.2
 CYS 20050804  9.52  7.41  0.15  0.46  0.23 298.1
 CYS 20050805  9.24  8.68  0.50  0.47  0.03 304.3
 CYS 20050806  9.09  8.41  0.40  0.55  0.05 307.5
 CYS 20050807  9.26  8.35  0.28  0.60  0.12 301.1
